sample,Site,Sampling_location,Sites,Latitude,Longitude,BD,GWC,pH.H2O.,pH,soilpH,Total.C,Total.N,CN,KCl_NH4.N,KCl_NO3.N,WSOC,Na,NH4,K,Mg,Ca,Cl,NO3,SO4,Al,Fe,Mn,Cu,GMIN,GNIT,GNH4C,GNO3C,Branch_stock,Branch_C,Branch_N,Branch_CN,Leaf_stock,Leaf_C,Leaf_N,Leaf_CN,FH_stock,FH_C,FH_N,FH_CN,Soil.DNA,Bacterial.16S,Fungal.18S,F.B,AOA.amoA,AOB.amoA,AOA.AOB,Map_No,Site.y,N_degree,N_minute,N_second,E_degree,E_minute,E_second,Altitude,Slope_aspect,FSD,WRB,USDA,Forest_type,Dominant_tree_species,Understory,MAT,MAP,Sampling_date_1,Sampling_date_2,Sampling_date_3,Dominant_tree_type
S164,SBN,4,SBN4,32.37638889,131.0972222,0.51,0.52,4.99,4<pH¡Ü5,4-5,5.53,0.47,11.79,10.038,6.033,71.732,0.393,0.045,0.347,0.09,1.134,0.092,0.483,0.424,0.281,0.057,0.029,0.025,22.875,3.136,25.595,NA,0.2,37.83,0.67,56.3,0.16,35.32,1.24,28.59,0.34,22.72,0.82,27.81,52.5,99814691120,391048627,0.004,431896057,241379,1789.3,19,"Shiiba, natural forest",32,22,35,131,5,50,1190,N,BD,Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Carpinus sp.,Sasamorpha borealis,13.1,2660,2010/8/4,2012/11/13,2010/10/26,Conifer
S165,SBN,5,SBN5,32.37638889,131.0972222,0.32,0.67,4.82,4<pH¡Ü5,4-5,12.93,1.01,12.77,17.845,10.016,109.491,0.546,0.059,0.346,0.117,1.463,0.114,0.799,0.399,0.763,0.042,0,0,18.212,3.821,21.012,2.79,0.61,45.08,0.8,56.33,1.3,44.49,1.76,25.22,0.86,37.43,1.74,21.47,89.5,1.36E+11,1470511371,0.011,301883630,1243969,242.7,19,"Shiiba, natural forest",32,22,35,131,5,50,1190,N,BD,Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Carpinus sp.,Sasamorpha borealis,13.1,2660,2010/8/4,2012/11/13,2010/10/26,Conifer
S166,TKA,1,TKA1,31.51972222,130.795,0.7,0.28,6.47,6<pH¡Ü7,6-7,2.76,0.1,26.63,0,4.268,0,0.418,0,0.054,0.056,0.464,0.169,0.21,0.268,0.256,0.035,0.019,0.065,0.367,0.666,2.48,0.064,0.65,44.29,0.41,108.33,0.53,44.78,0.71,62.98,3.73,39.94,0.55,72.16,3.9,10625105962,61246076,0.006,26636184,130879,203.5,20,"Takakuma, artificial forest",31,31,11,130,47,42,530,E,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1960),Cryptomeria japonica,"Neolitsea sericea, Ligustrum japonicum, Machilus japonica",14.9,3080,2012/11/15,2012/11/15,2012/11/15,Conifer
S167,TKA,2,TKA2,31.51972222,130.795,0.65,0.34,6.59,6<pH¡Ü7,6-7,4.18,0.18,23.72,0,4.268,23.465,0.605,0,0.101,0.117,0.935,0.253,0.426,0.31,0.262,0.063,0.015,0.067,1.025,0.165,3.106,NA,0,NA,NA,NA,2.36,43.13,0.43,100.92,9.59,36.69,0.6,60.96,19.3,51613094321,259057939,0.005,156791465,2330053,67.3,20,"Takakuma, artificial forest",31,31,11,130,47,42,530,E,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1960),Cryptomeria japonica,"Neolitsea sericea, Ligustrum japonicum, Machilus japonica",14.9,3080,2012/11/15,2012/11/15,2012/11/15,Conifer
S168,TKA,3,TKA3,31.51972222,130.795,0.78,0.28,6.81,6<pH¡Ü7,6-7,3.12,0.12,26.07,0,4.268,9.838,0.641,0,0.022,0.065,0.599,0.247,0.335,0.207,0.151,0.037,0.007,0.106,1.078,1.009,2.879,0.152,0.71,45.97,0.41,112.13,0.7,47.13,0.5,93.64,7.76,40.7,0.72,56.54,6.6,19620682464,111990421,0.006,126787956,55989,2264.5,20,"Takakuma, artificial forest",31,31,11,130,47,42,530,E,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1960),Cryptomeria japonica,"Neolitsea sericea, Ligustrum japonicum, Machilus japonica",14.9,3080,2012/11/15,2012/11/15,2012/11/15,Conifer
S169,TKA,4,TKA4,31.51972222,130.795,0.81,0.28,6.72,6<pH¡Ü7,6-7,2.17,0.07,29.9,0,4.268,0,0.655,0,0.045,0.075,0.626,0.308,0.231,0.267,0.123,0.034,0.007,0.064,0.883,0.611,3.096,0.122,3.87,44.23,0.41,107.82,1.61,45.17,0.51,88.94,8.77,36.93,0.7,52.79,7.5,16288596577,123731879,0.008,37825816,129489,292.1,20,"Takakuma, artificial forest",31,31,11,130,47,42,530,E,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1960),Cryptomeria japonica,"Neolitsea sericea, Ligustrum japonicum, Machilus japonica",14.9,3080,2012/11/15,2012/11/15,2012/11/15,Conifer
S17,SCC,2,SCC2,43.3425,144.6341667,0.44,0.45,5.69,5<pH¡Ü6,5-6,6.93,0.49,14.28,0.551,5.493,69.062,0.856,0.006,0.211,0.142,0.555,0.365,0.511,0.145,2.601,0.805,0.266,0,2.919,0.587,4.944,NA,1.46,47.35,0.46,103.66,4.88,42.83,0.88,48.65,13.86,38.74,1.4,27.76,54,1.07E+11,1080011480,0.01,868281095,12684577,68.5,2,"Shibecha, coniferous forest",43,20,33,144,38,3,50,NW,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1959),Larix kaempferi,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Conifer
S170,TKA,5,TKA5,31.51972222,130.795,0.56,0.26,6.96,6<pH¡Ü7,6-7,2,0.07,27.89,0,4.268,1.844,0.59,0,0.045,0.067,0.637,0.218,0.226,0.222,0.182,0.029,0.008,0,0.736,0.351,2.774,0.15,0.32,43.33,0.42,103.12,0.24,45.46,0.59,77.36,3.6,36.37,0.71,51.21,2.1,14895397504,93730807,0.006,63474091,114352,555.1,20,"Takakuma, artificial forest",31,31,11,130,47,42,530,E,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1960),Cryptomeria japonica,"Neolitsea sericea, Ligustrum japonicum, Machilus japonica",14.9,3080,2012/11/15,2012/11/15,2012/11/15,Conifer
S171,TKN,1,TKN1,31.53527778,130.7511111,1.42,0.19,5.49,5<pH¡Ü6,5-6,2.09,0.13,15.64,4.135,2.616,110.876,0.272,0.174,0.173,0.03,0.482,0.095,0.131,0.294,0.032,0.012,0,0.008,1.587,0.489,2.318,0.581,1.99,46.91,0.82,57.51,3.36,44.18,1.07,41.11,4.67,28.43,1.02,27.79,2.3,19034584876,292727482,0.015,2656464,NA,NA,20,"Takakuma, natural forest",31,32,7,130,45,4,630,SE,Im,Regosols,Entisols,Warm temperate evergreen broadleaved forest,Castanopsis sieboldii,Aucuba japonica,14.9,3080,2010/9/3,2012/11/15,2010/10/28,Broadleaf
S172,TKN,2,TKN2,31.53527778,130.7511111,1.38,0.19,5.78,5<pH¡Ü6,5-6,1.33,0.09,14.31,4.776,1.53,106.42,0.34,0.119,0.197,0.019,0.737,0.137,0.06,0.262,0.422,0.043,0.005,0.017,1.027,0.201,1.778,0.49,2.17,44.24,0.75,59.1,2.68,44.2,1.22,36.14,5.42,32.54,1.15,28.35,6.4,29841665359,365420993,0.012,191605,1045463,0.2,20,"Takakuma, natural forest",31,32,7,130,45,4,630,SE,Im,Regosols,Entisols,Warm temperate evergreen broadleaved forest,Castanopsis sieboldii,Aucuba japonica,14.9,3080,2010/9/3,2012/11/15,2010/10/28,Broadleaf
S173,TKN,3,TKN3,31.53527778,130.7511111,2.09,0.19,5.68,5<pH¡Ü6,5-6,1.6,0.1,15.45,5.37,1.388,97.002,0.326,0.111,0.144,0.025,0.758,0.098,0.054,0.22,0.653,0.103,0.009,0,0.995,0.171,1.809,NA,0.9,45.48,0.69,66.36,2.2,43.95,1.07,40.95,5.16,26.57,0.95,28.08,1.1,11121996781,300752125,0.027,1090872,353048,3.1,20,"Takakuma, natural forest",31,32,7,130,45,4,630,SE,Im,Regosols,Entisols,Warm temperate evergreen broadleaved forest,Castanopsis sieboldii,Aucuba japonica,14.9,3080,2010/9/3,2012/11/15,2010/10/28,Broadleaf
S174,TKN,4,TKN4,31.53527778,130.7511111,1.52,0.23,5.92,5<pH¡Ü6,5-6,1.96,0.13,15.32,4.385,0.913,114.287,0.264,0.071,0.155,0.02,0.729,0.115,0.031,0.259,0.66,0.024,0.008,0.001,0.532,0.264,0.947,NA,0.93,45.4,0.78,58.36,2.04,45.37,1.26,35.87,3.45,33.5,1.15,29.1,4.7,11665434380,240229939,0.021,8801176,222247,39.6,20,"Takakuma, natural forest",31,32,7,130,45,4,630,SE,Im,Regosols,Entisols,Warm temperate evergreen broadleaved forest,Castanopsis sieboldii,Aucuba japonica,14.9,3080,2010/9/3,2012/11/15,2010/10/28,Broadleaf
S175,TKN,5,TKN5,31.53527778,130.7511111,1.45,0.27,5.69,5<pH¡Ü6,5-6,1.75,0.12,15.17,4.66,0.273,105.12,0.418,0.059,0.148,0.019,0.61,0.13,0.015,0.238,0.708,0.052,0.004,0,1.489,0.465,2.319,NA,0.98,43.52,0.9,48.26,4.16,37.85,0.98,38.53,5.37,28.82,1.2,24.02,5.5,15460844093,291613604,0.019,17681774,261095,67.7,20,"Takakuma, natural forest",31,32,7,130,45,4,630,SE,Im,Regosols,Entisols,Warm temperate evergreen broadleaved forest,Castanopsis sieboldii,Aucuba japonica,14.9,3080,2010/9/3,2012/11/15,2010/10/28,Broadleaf
S176,YNN,1,YNN1,26.7525,128.2180556,1.04,0.35,5.22,5<pH¡Ü6,5-6,3.54,0.12,29,9.897,0.145,384.181,3,0.008,0.149,0.067,0.068,1.945,0.075,0.92,19.967,29.745,0.027,0,1.105,1.846,2.976,2.247,0,NA,NA,NA,7.16,39.96,0.91,43.96,6.44,41.95,1.2,34.87,19.7,31347204512,1487548041,0.047,NA,NA,NA,21,"Yona, natural forest",26,45,9,128,13,5,200,E,YB,Acrisols,Ultisols,Subtropical evergreen broadleaved forest,Castanopsis sieboldii,Ardisia quinquegona,20.9,2550,2012/10/24,2012/10/24,2012/10/24,Broadleaf
S177,YNN,2,YNN2,26.7525,128.2180556,0.85,0.35,4.88,4<pH¡Ü5,4-5,5.06,0.15,34.87,9.897,0.145,94.403,2.648,0.014,0.176,0.163,0.068,1.689,0.068,0.807,6.272,10.945,0.025,0,10.128,1.712,3.204,1.557,0,NA,NA,NA,4.32,41.82,0.84,49.9,1.06,34.69,1,34.84,20.7,32319959845,3188547557,0.099,NA,NA,NA,21,"Yona, natural forest",26,45,9,128,13,5,200,E,YB,Acrisols,Ultisols,Subtropical evergreen broadleaved forest,Castanopsis sieboldii,Ardisia quinquegona,20.9,2550,2012/10/24,2012/10/24,2012/10/24,Broadleaf
S178,YNN,3,YNN3,26.7525,128.2180556,1.03,0.26,4.68,4<pH¡Ü5,4-5,2.75,0.09,31.76,9.897,0.145,30.941,2.166,0.003,0.094,0.289,0.032,1.902,0.056,0.601,1.562,4.095,0.026,0,1.196,0.76,1.544,0.625,0,NA,NA,NA,4.45,43.86,1,43.7,4.62,45.9,1.35,34,7.4,12861272827,682366012,0.053,NA,61429,NA,21,"Yona, natural forest",26,45,9,128,13,5,200,E,YB,Acrisols,Ultisols,Subtropical evergreen broadleaved forest,Castanopsis sieboldii,Ardisia quinquegona,20.9,2550,2012/10/24,2012/10/24,2012/10/24,Broadleaf
S179,YNN,4,YNN4,26.7525,128.2180556,0.67,0.24,5.1,5<pH¡Ü6,5-6,3.37,0.14,24.75,9.897,0.145,76.698,1.951,0.002,0.076,0.011,0,1.158,0.055,0.518,8.05,21.507,0.016,0,0.701,0.659,1.598,0.742,0,NA,NA,NA,2.91,45.62,1.22,37.41,0,NA,NA,NA,19.2,30735933048,1053360189,0.034,NA,NA,NA,21,"Yona, natural forest",26,45,9,128,13,5,200,E,YB,Acrisols,Ultisols,Subtropical evergreen broadleaved forest,Castanopsis sieboldii,Ardisia quinquegona,20.9,2550,2012/10/24,2012/10/24,2012/10/24,Broadleaf
S18,SCC,3,SCC3,43.3425,144.6341667,0.45,0.45,5.73,5<pH¡Ü6,5-6,7.78,0.52,15.01,0.551,5.493,65.632,0.714,0.007,0.18,0.149,0.499,0.262,0.453,0.124,2.537,0.75,0.202,0,3.895,1.011,6.318,NA,2.61,47.52,0.52,91.13,5.92,42.89,0.93,46.05,18.31,41.94,1.21,34.69,62.7,1.55E+11,1993169136,0.013,65328247,3422526,19.1,2,"Shibecha, coniferous forest",43,20,33,144,38,3,50,NW,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1959),Larix kaempferi,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Conifer
S180,YNN,5,YNN5,26.7525,128.2180556,0.82,0.27,4.99,4<pH¡Ü5,4-5,2.21,0.06,36.53,9.897,0.145,137.076,1.981,0.002,0.062,0.027,0,1.238,0.056,0.619,6.082,12.469,0.011,0,0.916,0.037,1.845,0.419,0,NA,NA,NA,3.17,46.92,0.88,53.51,0,NA,NA,NA,15.4,27910276599,1365431871,0.049,NA,NA,NA,21,"Yona, natural forest",26,45,9,128,13,5,200,E,YB,Acrisols,Ultisols,Subtropical evergreen broadleaved forest,Castanopsis sieboldii,Ardisia quinquegona,20.9,2550,2012/10/24,2012/10/24,2012/10/24,Broadleaf
S181,HZA,1,HZA1,35.29111111,133.5780556,0.39,0.57,4.9,4<pH¡Ü5,4-5,18.34,0.92,19.93,23.318,0.348,55.765,1.163,0,0.019,0.053,0.029,0.64,0,0.306,12.957,5.129,0.215,0,0.651,0.369,0.44,2.505,1.31,47.39,0.69,68.68,0.16,61.98,1.42,43.65,28.21,28.39,0.94,30.2,135,2.39E+11,999985590,0.004,1293529,490543,2.6,22,"Hiruzen, artificial forest",35,17,28,133,34,41,640,E,BlD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Chamaecyparis obtusa,"Lindera umbellata, Eurya japonica, Rubus palmatus var. palmatus",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Conifer
S182,HZA,2,HZA2,35.29111111,133.5780556,0.35,0.58,5.09,5<pH¡Ü6,5-6,16.38,0.8,20.48,23.318,0.348,34.484,0.514,0,0.012,0.122,0.019,0.31,0,0.295,5.484,2.251,0.117,0,2.055,0.286,2.6,1.798,3.27,48.88,0.58,84.28,0.09,47.99,1.02,47.05,7.32,35.03,0.8,43.79,110.9,1.84E+11,455717120,0.002,697695,240622,2.9,22,"Hiruzen, artificial forest",35,17,28,133,34,41,640,E,BlD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Chamaecyparis obtusa,"Lindera umbellata, Eurya japonica, Rubus palmatus var. palmatus",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Conifer
S183,HZA,3,HZA3,35.29111111,133.5780556,0.43,0.59,5.59,5<pH¡Ü6,5-6,18.29,0.9,20.32,23.318,0.348,71.569,1.479,0,0.004,0.037,0.158,0.766,0,0.206,16.408,7.229,0.23,0,1.539,0.259,1.605,2.822,2.63,49.09,0.66,74.38,0.02,47.68,0.74,64.43,7.72,30.55,0.91,33.57,95.9,1.45E+11,330518533,0.002,83983956,1177034,71.4,22,"Hiruzen, artificial forest",35,17,28,133,34,41,640,E,BlD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Chamaecyparis obtusa,"Lindera umbellata, Eurya japonica, Rubus palmatus var. palmatus",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Conifer
S184,HZA,4,HZA4,35.29111111,133.5780556,0.37,0.63,5.32,5<pH¡Ü6,5-6,19.14,1.02,18.76,23.318,0.348,56.972,1.205,0,0.01,0.046,0.131,0.693,0,0.28,9.388,3.291,0.267,0,3.161,0.378,5.6,2.133,2.73,48.97,0.54,90.69,0.04,50.61,0.82,61.72,12.19,35.53,0.81,43.86,149.9,2.59E+11,920183240,0.004,55638818,1145525,48.6,22,"Hiruzen, artificial forest",35,17,28,133,34,41,640,E,BlD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Chamaecyparis obtusa,"Lindera umbellata, Eurya japonica, Rubus palmatus var. palmatus",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Conifer
S185,HZA,5,HZA5,35.29111111,133.5780556,0.35,0.57,5.08,5<pH¡Ü6,5-6,17.04,0.83,20.53,23.318,0.348,39.451,0.662,0,0.006,0.068,0.058,0.321,0,0.266,7.972,2.909,0.11,0,1.69,0.37,2.366,2.304,1.26,49.03,0.76,64.51,0.09,51.89,0.92,56.4,7.7,35.22,0.92,38.28,79.6,1.17E+11,1054096247,0.009,1141242,198164,5.8,22,"Hiruzen, artificial forest",35,17,28,133,34,41,640,E,BlD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Chamaecyparis obtusa,"Lindera umbellata, Eurya japonica, Rubus palmatus var. palmatus",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Conifer
S186,HZB,1,HZB1,35.29111111,133.5777778,0.34,0.57,4.88,4<pH¡Ü5,4-5,19.62,0.99,19.82,2.896,0.366,131.999,0.782,0,0.054,0.234,0,0.553,0,0.327,21.883,10.227,0.112,0.083,4.18,0.237,6.168,0.751,0.29,41.06,0.48,85.54,3.45,36.59,0.5,73.18,15.29,32.56,1.1,29.6,157.1,2.44E+11,1372331944,0.006,128796183,2653798,48.5,22,"Hiruzen, natural forest",35,17,28,133,34,40,650,W,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus acutissima,"Lindera umbellata, Sasa palmata",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Broadleaf
S187,HZB,2,HZB2,35.29111111,133.5777778,0.4,0.56,4.88,4<pH¡Ü5,4-5,20.86,1.13,18.46,2.896,0.366,77.363,0.547,0.027,0.081,0.149,0.091,0.414,0.085,0.367,13.218,5.082,0.187,0,2.438,0.197,4.554,0.151,0.41,37.35,0.52,71.83,2.79,36.66,0.93,39.42,10.33,31.33,1.59,19.7,155.9,2.48E+11,1257808679,0.005,125144951,675656,185.2,22,"Hiruzen, natural forest",35,17,28,133,34,40,650,W,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus acutissima,"Lindera umbellata, Sasa palmata",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Broadleaf
S188,HZB,3,HZB3,35.29111111,133.5777778,0.37,0.57,4.83,4<pH¡Ü5,4-5,19.23,1.02,18.85,2.896,0.366,81.18,0.436,0,0.185,0.06,0.036,0.436,0,0.327,16.39,6.562,0.244,0.019,3.9,0.304,7.151,0.012,1.11,38.7,0.43,90,1.66,36.59,0.77,47.52,18.58,26.78,1.23,21.77,130.7,2.46E+11,1031097010,0.004,143743246,332106,432.8,22,"Hiruzen, natural forest",35,17,28,133,34,40,650,W,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus acutissima,"Lindera umbellata, Sasa palmata",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Broadleaf
S189,HZB,4,HZB4,35.29111111,133.5777778,0.35,0.57,4.84,4<pH¡Ü5,4-5,20.36,1,20.36,2.896,0.366,92.692,0.545,0,0.04,0.136,0.163,0.435,0,0.306,17.629,7.842,0.168,0.09,3.842,0.402,6.901,0.428,0.71,35.52,0.34,104.47,2.19,37.42,1.04,35.98,10.52,36.11,1.5,24.07,146,2.19E+11,1405662007,0.006,175150426,370037,473.3,22,"Hiruzen, natural forest",35,17,28,133,34,40,650,W,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus acutissima,"Lindera umbellata, Sasa palmata",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Broadleaf
S19,SCC,4,SCC4,43.3425,144.6341667,0.54,0.43,5.75,5<pH¡Ü6,5-6,6.25,0.4,15.48,0.551,5.493,65.168,0.704,0.014,0.18,0.131,0.379,0.288,0.396,0.15,2.129,0.731,0.189,0,3.559,0.265,5.38,0.083,1.17,47.82,0.49,98.39,3.89,43.65,0.73,59.79,16.64,39.27,1.58,24.91,43.5,1.07E+11,2242401564,0.021,154511484,6901008,22.4,2,"Shibecha, coniferous forest",43,20,33,144,38,3,50,NW,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1959),Larix kaempferi,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Conifer
S190,HZB,5,HZB5,35.29111111,133.5777778,0.45,0.59,4.78,4<pH¡Ü5,4-5,19.57,1.02,19.19,2.896,0.366,118.101,0.497,0.065,0.19,0.215,0.089,0.387,0,0.465,17.124,5.589,0.262,0,5.415,0.093,9.683,0.756,1.79,37.99,0.07,542.71,4.41,36.4,0.97,37.53,6.85,34.39,1.6,21.49,135.4,2.44E+11,614915050,0.003,171266115,448426,381.9,22,"Hiruzen, natural forest",35,17,28,133,34,40,650,W,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus acutissima,"Lindera umbellata, Sasa palmata",11.3,2160,2015/11/11,2015/11/11,2015/11/11,Broadleaf
S191,TTA,1,TTA1,33.33527778,132.9611111,0.46,0.31,5.62,5<pH¡Ü6,5-6,4.91,0.38,12.92,6.324,1.748,24.773,0.142,0.013,0.007,0.021,0.101,0.047,0.125,0.198,49.639,20.232,0.402,0,0.855,0.757,2.417,0.017,2,45.04,0.32,140.75,0.6,51.22,0.83,61.71,8.66,45.31,0.84,53.94,36.9,53752356555,69800269,0.001,103852422,889350,116.8,23,"Takatoriyama, artificial forest",33,20,7,132,57,40,330,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1968),Cryptomeria japonica,"Neolitsea sericea, Camellia japonica, Cleyera japonica, Eurya japonica",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S192,TTA,2,TTA2,33.33527778,132.9611111,0.43,0.34,5.96,5<pH¡Ü6,5-6,6.85,0.47,14.57,6.324,1.748,43.298,0.144,0.014,0.035,0.051,0.272,0.049,0.157,0.095,69.136,26.351,0.439,0,2.641,0.423,4.803,0.178,1.79,47.81,0.38,125.82,0.42,50.39,1.21,41.64,9.81,47.49,0.76,62.49,45.3,56444459651,631946616,0.011,34550183,1772841,19.5,23,"Takatoriyama, artificial forest",33,20,7,132,57,40,330,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1968),Cryptomeria japonica,"Neolitsea sericea, Camellia japonica, Cleyera japonica, Eurya japonica",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S193,TTA,3,TTA3,33.33527778,132.9611111,0.53,0.35,5.79,5<pH¡Ü6,5-6,5.11,0.36,14.19,6.324,1.748,15.512,0.089,0.014,0,0.002,0.089,0.012,0.086,0.141,31.869,11.652,0.212,0,1.653,0.649,3.212,NA,2.71,46.76,1.29,36.25,0.07,46.76,1.29,36.25,13.55,47.92,0.91,52.66,42.6,68023034138,178381913,0.003,126844648,379955,333.8,23,"Takatoriyama, artificial forest",33,20,7,132,57,40,330,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1968),Cryptomeria japonica,"Neolitsea sericea, Camellia japonica, Cleyera japonica, Eurya japonica",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S194,TTA,4,TTA4,33.33527778,132.9611111,0.35,0.3,5.97,5<pH¡Ü6,5-6,8.41,0.47,17.89,6.324,1.748,33.023,0.222,0.013,0.003,0.025,0.254,0.05,0.105,0.168,42.317,16.551,0.495,0,1.252,1.225,2.769,NA,0.73,42.05,0.45,93.44,0.09,49.64,2.25,22.06,8.35,50.46,1.04,48.52,56.1,82105486274,357203836,0.004,207284330,8969563,23.1,23,"Takatoriyama, artificial forest",33,20,7,132,57,40,330,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1968),Cryptomeria japonica,"Neolitsea sericea, Camellia japonica, Cleyera japonica, Eurya japonica",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S195,TTA,5,TTA5,33.33527778,132.9611111,0.53,0.33,5.65,5<pH¡Ü6,5-6,7.47,0.51,14.65,6.324,1.748,64.277,0.204,0.015,0.024,0.071,0.326,0.098,0.148,0.126,87.176,33.502,0.696,0,2.225,2.848,4.619,NA,0.38,42.17,0.42,100.4,0.36,47.38,1.05,45.12,4.71,44.31,1,44.31,42.1,62086961762,341846169,0.006,69160937,3168285,21.8,23,"Takatoriyama, artificial forest",33,20,7,132,57,40,330,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1968),Cryptomeria japonica,"Neolitsea sericea, Camellia japonica, Cleyera japonica, Eurya japonica",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S196,TTB,1,TTB1,33.33861111,132.9638889,0.34,0.27,5.72,5<pH¡Ü6,5-6,7.79,0.54,14.43,5.371,0.868,50.659,0.253,0.014,0.077,0.045,0.136,0.117,0.092,0.135,81.627,37.264,0.732,0,1.579,1.079,2.903,NA,0.6,44.41,0.86,51.64,0.53,47.62,1.17,40.7,2.96,33.48,1.13,29.63,57.7,86175414761,514425373,0.006,89973752,2067324,43.5,23,"Takatoriyama, natural forest",33,20,19,132,57,50,650,E,BD,Cambisols,Inceptisols,Warm temperate evergreen coniferous forest,Abies firma,"Cleyera japonica, Illicium anisatum",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S197,TTB,2,TTB2,33.33861111,132.9638889,0.42,0.29,5.71,5<pH¡Ü6,5-6,5.49,0.39,14.08,5.371,0.868,89.961,0.283,0.014,0.142,0.082,0.174,0.114,0.065,0.198,173.082,86.797,1.852,0,0.449,0.6,2.563,0.135,0.42,50.48,0.8,63.1,0.35,47.04,1.26,37.33,1.38,39.96,1.01,39.56,41.4,59285518979,199783334,0.003,50388444,4352928,11.6,23,"Takatoriyama, natural forest",33,20,19,132,57,50,650,E,BD,Cambisols,Inceptisols,Warm temperate evergreen coniferous forest,Abies firma,"Cleyera japonica, Illicium anisatum",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S198,TTB,3,TTB3,33.33861111,132.9638889,0.35,0.3,5.45,5<pH¡Ü6,5-6,5.89,0.39,15.1,5.371,0.868,73.67,0.24,0.014,0.081,0.06,0.225,0.123,0.076,0.184,150.17,74.806,1.39,0,0.866,0.588,2.057,0.417,0.07,47.75,0.63,75.79,0.63,55.15,1.66,33.22,4.22,38.43,1.1,34.94,35.9,53575758750,154450510,0.003,31045544,4788772,6.5,23,"Takatoriyama, natural forest",33,20,19,132,57,50,650,E,BD,Cambisols,Inceptisols,Warm temperate evergreen coniferous forest,Abies firma,"Cleyera japonica, Illicium anisatum",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S199,TTB,4,TTB4,33.33861111,132.9638889,0.42,0.36,5.74,5<pH¡Ü6,5-6,6.77,0.53,12.77,5.371,0.868,77.506,0.211,0.017,0.023,0.139,0.461,0.124,0.239,0.142,148.041,58.215,1.674,0,2.676,0.803,2.775,0.442,0.09,42.82,0.91,47.05,0.31,43.88,1.23,35.67,2.71,40.97,1.33,30.8,62.2,84462339936,276804742,0.003,68918960,3272873,21.1,23,"Takatoriyama, natural forest",33,20,19,132,57,50,650,E,BD,Cambisols,Inceptisols,Warm temperate evergreen coniferous forest,Abies firma,"Cleyera japonica, Illicium anisatum",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
