ID	Large_category	Small_category	Origin	Type	Name	Components
M00225	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Lysine/arginine/ornithine transport system	4
M00226	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Histidine transport system	4
M00227	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Glutamine transport system	3
M00228	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Aspartate/glutamate/glutamine transport system	3
M00229	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Arginine transport system	4
M00230	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Glutamate/aspartate transport system	4
M00231	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Octopine/nopaline transport system	4
M00232	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	General L-amino acid transport system	4
M00233	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Glutamate transport system	4
M00234	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	L-Cystine transport system	3
M00235	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Arginine/ornithine transport system	4
M00236	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Putative polar amino acid transport system	3
M00237	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Branched-chain amino acid transport system	5
M00238	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	D-Methionine transport system	3
M00239	Environmental information processing	Peptide and nickel transport system	Prokaryote	Complex	Peptides/nickel transport system	5
M00240	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Iron complex transport system	3
M00241	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Vitamin B12 transport system	3
M00242	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Zinc transport system	3
M00243	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Manganese/iron transport system	3
M00244	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Putative zinc/manganese transport system	3
M00245	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Cobalt/nickel transport system	4
M00246	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Nickel transport system	4
M00247	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Putative ABC transport system	3
M00249	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Capsular polysaccharide transport system	3
M00250	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Lipopolysaccharide transport system	2
M00251	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Teichoic acid transport system	2
M00252	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Lipooligosaccharide transport system	2
M00253	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Sodium transport system	2
M00254	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	ABC-2 type transport system	2
M00255	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Lipoprotein-releasing system	2
M00256	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Cell division transport system	2
M00257	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Hemin transport system	2
M00258	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Putative ABC transport system	2
M00259	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Heme transport system	3
M00260	Genetic information processing	DNA polymerase	Prokaryote	Complex	"DNA polymerase III complex, bacteria"	6
M00264	Genetic information processing	DNA polymerase	Prokaryote	Complex	"DNA polymerase II complex, archaea"	2
M00265	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, glucose-specific II component"	3
M00266	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, maltose/glucose-specific II component"	3
M00267	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, N-acetylglucosamine-specific II component"	3
M00268	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, alpha-glucoside-specific II component"	3
M00269	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, sucrose-specific II component"	3
M00270	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, trehalose-specific II component"	3
M00271	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, beta-glucoside-specific II component"	3
M00272	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component"	3
M00273	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, fructose-specific II component"	3
M00274	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, mannitol-specific II component"	3
M00275	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, cellobiose-specific II component"	3
M00276	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, mannose-specific II component"	4
M00277	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, N-acetylgalactosamine-specific II component"	4
M00278	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, sorbose-specific II component"	4
M00279	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, galactitol-specific II component"	3
M00280	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, glucitol/sorbitol-specific II component"	3
M00281	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, lactose-specific II component"	3
M00282	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, D-glucosamine-specific II component"	3
M00283	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, ascorbate-specific II component"	3
M00287	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, galactosamine-specific II component"	4
M00298	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Multidrug/hemolysin transport system	2
M00299	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Spermidine/putrescine transport system	4
M00300	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Putrescine transport system	4
M00301	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Mannopine transport system	4
M00302	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	2-Aminoethylphosphonate transport system	4
M00303	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, N-acetylmuramic acid-specific II component"	3
M00304	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, fructose-specific II component"	4
M00305	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, 2-O-A-mannosyl-D-glycerate-specific II component"	3
M00306	Environmental information processing	Phosphotransferase system (PTS)	Prokaryote	Complex	"PTS system, fructose-specific II-like component"	3
M00308	Carbohydrate metabolism	Central carbohydrate metabolism	Prokaryote	Pathway	"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"	4..5
M00309	Carbohydrate metabolism	Central carbohydrate metabolism	Prokaryote	Pathway	"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate"	3
M00314	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Bacitracin transport system	2
M00315	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Uncharacterized ABC transport system	2
M00316	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Manganese transport system	3
M00317	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Manganese/iron transport system	4
M00318	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Iron/zinc/manganese/copper transport system	3
M00319	Environmental information processing	"Metallic cation, iron-siderophore and vitamin B12 transport system"	Prokaryote	Complex	Manganese/zinc/iron transport system	4
M00320	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Lipopolysaccharide export system	3
M00321	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Bicarbonate transport system	4
M00322	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Neutral amino acid transport system	5
M00323	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Urea transport system	5
M00324	Environmental information processing	Peptide and nickel transport system	Prokaryote	Complex	Dipeptide transport system	5
M00325	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	alpha-Hemolysin/cyclolysin transport system	3
M00326	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	RTX toxin transport system	4
M00327	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	S-Layer protein transport system	3
M00328	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Hemophore/metalloprotease transport system	3
M00329	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Multiple protein transport system	2
M00330	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Adhesin protein transport system	3
M00331	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Type II general secretion pathway	12
M00332	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Type III secretion system	9
M00333	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Type IV secretion system	6
M00334	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Type VI secretion system	13
M00335	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Sec (secretion) system	8..9
M00336	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Twin-arginine translocation (Tat) system	2
M00339	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	RaxAB-RaxC type I secretion system	3
M00342	Genetic information processing	Proteasome	Prokaryote	Complex	Bacterial proteasome	4
M00343	Genetic information processing	Proteasome	Prokaryote	Complex	Archaeal proteasome	3
M00344	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Formaldehyde assimilation, xylulose monophosphate pathway"	4
M00345	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Formaldehyde assimilation, ribulose monophosphate pathway"	3..4
M00346	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Formaldehyde assimilation, serine pathway"	9
M00348	Environmental information processing	Peptide and nickel transport system	Prokaryote	Complex	Glutathione transport system	4
M00349	Environmental information processing	Peptide and nickel transport system	Prokaryote	Complex	Microcin C transport system	4
M00356	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Methanogenesis, methanol => methane"	3
M00357	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Methanogenesis, acetate => methane"	5..6
M00358	Energy metabolism	Methane metabolism	Prokaryote	Pathway	Coenzyme M biosynthesis	4
M00363	Gene set	Pathogenicity	Prokaryote	Signature	"EHEC pathogenicity signature, Shiga toxin"	2
M00364	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	Prokaryote	Pathway	"C10-C20 isoprenoid biosynthesis, bacteria"	2
M00365	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	Prokaryote	Pathway	"C10-C20 isoprenoid biosynthesis, archaea"	2
M00373	Carbohydrate metabolism	Other carbohydrate metabolism	Prokaryote	Pathway	Ethylmalonyl pathway	12
M00374	Energy metabolism	Carbon fixation	Prokaryote	Pathway	Dicarboxylate-hydroxybutyrate cycle	13
M00375	Energy metabolism	Carbon fixation	Prokaryote	Pathway	Hydroxypropionate-hydroxybutylate cycle	14
M00376	Energy metabolism	Carbon fixation	Prokaryote	Pathway	3-Hydroxypropionate bi-cycle	13
M00377	Energy metabolism	Carbon fixation	Prokaryote	Pathway	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	7
M00378	Energy metabolism	Methane metabolism	Prokaryote	Pathway	F420 biosynthesis	4
M00390	Genetic information processing	RNA processing	Prokaryote	Complex	"Exosome, archaea"	3
M00394	Genetic information processing	RNA processing	Prokaryote	Complex	RNA degradosome	4
M00416	Energy metabolism	ATP synthesis	Prokaryote	Complex	Cytochrome aa3-600 menaquinol oxidase	4
M00417	Energy metabolism	ATP synthesis	Prokaryote	Complex	Cytochrome o ubiquinol oxidase	4
M00418	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Toluene degradation, anaerobic, toluene => benzoyl-CoA"	6
M00419	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Cymene degradation, p-cymene => p-cumate"	3
M00422	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Acetyl-CoA pathway, CO2 => acetyl-CoA"	2
M00423	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Molybdate/tungstate transport system	3
M00429	Environmental information processing	Bacterial secretion system	Prokaryote	Complex	Competence-related DNA transformation transporter	8
M00434	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	PhoR-PhoB (phosphate starvation response) two-component regulatory system	2
M00435	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Taurine transport system	3
M00436	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Sulfonate transport system	3
M00437	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Phthalate transport system	3
M00438	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Nitrate/nitrite transport system	3
M00439	Environmental information processing	Peptide and nickel transport system	Prokaryote	Complex	Oligopeptide transport system	5
M00440	Environmental information processing	Peptide and nickel transport system	Prokaryote	Complex	Nickel transport system	5
M00442	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Putative hydroxymethylpyrimidine transport system	3
M00443	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	SenX3-RegX3 (phosphate starvation response) two-component regulatory system	2
M00444	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	PhoQ-PhoP (magnesium transport) two-component regulatory system	2
M00445	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	EnvZ-OmpR (osmotic stress response) two-component regulatory system	2
M00446	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	RstB-RstA two-component regulatory system	2
M00447	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CpxA-CpxR (envelope stress response) two-component regulatory system	2
M00448	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CssS-CssR (secretion stress response) two-component regulatory system	2
M00449	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CreC-CreB (phosphate regulation) two-component regulatory system	2
M00450	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	BaeS-BaeR (envelope stress response) two-component regulatory system	2
M00451	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	BasS-BasR (antimicrobial peptide resistance) two-component regulatory system	2
M00452	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CusS-CusR (copper tolerance) two-component regulatory system	2
M00453	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	QseC-QseB (quorum sensing) two-component regulatory system	2
M00454	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	KdpD-KdpE (potassium transport) two-component regulatory system	2
M00455	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	TorS-TorR (TMAO respiration) two-component regulatory system	2
M00456	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	ArcB-ArcA (anoxic redox control) two-component regulatory system	2
M00457	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	TctE-TctD (tricarboxylic acid transport) two-component regulatory system	2
M00458	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system	2
M00459	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	VicK-VicR (cell wall metabolism) two-component regulatory system	2
M00460	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	MprB-MprA (maintenance of persistent infection) two-component regulatory system	2
M00461	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	MtrB-MtrA (osmotic stress response) two-component regulatory system	2
M00462	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	PrrB-PrrA (intracellular multiplication) two-component regulatory system	2
M00463	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	TrcS-TrcR two-component regulatory system	2
M00464	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	NrsS-NrsR (nickel tolerance) two-component regulatory system	2
M00465	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	ManS-ManR (manganese homeostasis) two-component regulatory system	2
M00466	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	NblS-NblR (photosynthesis) two-component regulatory system	2
M00467	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	SasA-RpaAB (circadian timing mediating) two-component regulatory system	3
M00468	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system	2
M00469	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	BceS-BceR (bacitracin transport) two-component regulatory system	2
M00470	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	2
M00471	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	NarX-NarL (nitrate respiration) two-component regulatory system	2
M00472	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	NarQ-NarP (nitrate respiration) two-component regulatory system	2
M00473	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	2
M00474	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	3
M00475	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	BarA-UvrY (central carbon metabolism) two-component regulatory system	2
M00476	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	ComP-ComA (competence) two-component regulatory system	2
M00477	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	2
M00478	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	DegS-DegU (multicellular behavior control) two-component regulatory system	2
M00479	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	2
M00480	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system	2
M00481	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	LiaS-LiaR (cell wall stress response) two-component regulatory system	2
M00482	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	DevS-DevR (redox response) two-component regulatory system	2
M00483	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system	2
M00484	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	YdfH-YdfI two-component regulatory system	2
M00485	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	KinABCDE-Spo0FA (sporulation control) two-component regulatory system	7
M00486	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CitA-CitB (citrate fermentation) two-component regulatory system	2
M00487	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CitS-CitT (magnesium-citrate transport) two-component regulatory system	2
M00488	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system	2
M00489	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	DctS-DctR (C4-dicarboxylate transport) two-component regulatory system	2
M00490	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	MalK-MalR (malate transport) two-component regulatory system	2
M00491	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	arabinogalactan oligomer/maltooligosaccharide transport system	4
M00492	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	LytS-LytR two-component regulatory system	2
M00493	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	AlgZ-AlgR (alginate production) two-component regulatory system	2
M00494	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	NatK-NatR (sodium extrusion) two-component regulatory system	2
M00495	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	AgrC-AgrA (exoprotein synthesis) two-component regulatory system	2
M00496	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	ComD-ComE (competence) two-component regulatory system	2
M00497	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	GlnL-GlnG (nitrogen regulation) two-component regulatory system	2
M00498	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	NtrY-NtrX (nitrogen regulation) two-component regulatory system	2
M00499	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	HydH-HydG (metal tolerance) two-component regulatory system	2
M00500	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	AtoS-AtoC (cPHB biosynthesis) two-component regulatory system	2
M00501	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system	2
M00502	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	GlrK-GlrR (amino sugar metabolism) two-component regulatory system	2
M00503	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	PgtB-PgtA (phosphoglycerate transport) two-component regulatory system	2
M00504	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	DctB-DctD (C4-dicarboxylate transport) two-component regulatory system	2
M00505	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	KinB-AlgB (alginate production) two-component regulatory system	2
M00506	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CheA-CheYBV (chemotaxis) two-component regulatory system	5
M00507	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	ChpA-ChpB/PilGH (chemosensory) two-component regulatory system	5
M00508	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	PixL-PixGH (positive phototaxis) two-component regulatory system	3
M00509	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	WspE-WspRF (chemosensory) two-component regulatory system	3
M00510	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	Cph1-Rcp1 (light response) two-component regulatory system	2
M00511	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	PleC-PleD (cell fate control) two-component regulatory system	4
M00512	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CckA-CtrA/CpdR (cell cycle control) two-component regulatory system	3
M00513	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system	4
M00514	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	TtrS-TtrR (tetrathionate respiration) two-component regulatory system	2
M00515	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	FlrB-FlrC (polar flagellar synthesis) two-component regulatory system	2
M00516	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	SLN1-YPD1-SSK1/SKN7 (osmosensing) two-component regulatory system	1..3
M00517	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	RpfC-RpfG (cell-to-cell signaling) two-component regulatory system	2
M00518	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	GlnK-GlnL (glutamine utilization) two-component regulatory system	2
M00519	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	YesM-YesN two-component regulatory system	2
M00520	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	ChvG-ChvI (acidity sensing) two-component regulatory system	2
M00521	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	CiaH-CiaR two-component regulatory system	2
M00522	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	SalK-SalR two-component regulatory system	2
M00523	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	RegB-RegA (redox response) two-component regulatory system	2
M00524	Environmental information processing	Two-component regulatory system	Prokaryote	FuncSet	FixL-FixJ (nitrogen fixation) two-component regulatory system	2
M00525	Amino acid metabolism	Lysine metabolism	Prokaryote	Pathway	"Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine"	9
M00526	Amino acid metabolism	Lysine metabolism	Prokaryote	Pathway	"Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine"	6
M00528	Energy metabolism	Nitrogen metabolism	Prokaryote	Pathway	"Nitrification, ammonia => nitrite"	2
M00529	Energy metabolism	Nitrogen metabolism	Prokaryote	Pathway	"Denitrification, nitrate => nitrogen"	4
M00530	Energy metabolism	Nitrogen metabolism	Prokaryote	Pathway	"Dissimilatory nitrate reduction, nitrate => ammonia"	2
M00533	Amino acid metabolism	Aromatic amino acid metabolism	Prokaryote	Pathway	"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate"	4
M00534	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Naphthalene degradation, naphthalene => salicylate"	6
M00535	Amino acid metabolism	Branched-chain amino acid metabolism	Prokaryote	Pathway	"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate"	3
M00537	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Xylene degradation, xylene => methylbenzoate"	3
M00538	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Toluene degradation, toluene => benzoate"	3
M00539	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate"	5
M00540	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA"	5
M00541	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"	4
M00542	Gene set	Pathogenicity	Prokaryote	Signature	"EHEC/EPEC pathogenicity signature, T3SS and effectors"	8
M00543	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate"	4
M00544	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate"	3
M00545	Amino acid metabolism	Aromatic amino acid metabolism	Prokaryote	Pathway	"Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA"	6..7
M00547	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol"	2
M00548	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Benzene degradation, benzene => catechol"	1
M00550	Carbohydrate metabolism	Other carbohydrate metabolism	Prokaryote	Pathway	"Ascorbate degradation, ascorbate => D-xylulose-5P"	5
M00551	Xenobiotics biodegradation	Aromatics degradation	Prokaryote	Pathway	"Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol"	2
M00552	Carbohydrate metabolism	Other carbohydrate metabolism	Prokaryote	Pathway	"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"	5
M00563	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane"	4
M00564	Gene set	Pathogenicity	Prokaryote	Signature	"Helicobacter pylori pathogenicity signature, cagA pathogenicity island"	23
M00565	Carbohydrate metabolism	Other carbohydrate metabolism	Prokaryote	Pathway	"Trehalose biosynthesis, D-glucose 1P => trehalose"	6
